County,Municipality,Precinct,USC,STS,STH,School District,Total_Voters,Dem_Voters,Rep_Voters,Other_Voters,Male_Voters,Female_Voters,Unknown_Gender,Avg_Age,New_Registrations,Mail_Applications,Mail_Applications_Total,Mail_Applications_Approved,Mail_Applications_Declined,Mail_Ballots_Sent,Mail_Ballots_Returned,Mail_Ballots_Outstanding,Mail_Voters,Geo_Issue_Rows
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 14,12,45,38,BALDWIN-WHITEHALL,591,319,206,66,249,274,68,54.0,2,72,76,72,4,72,41,31,41,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 15,12,45,38,BALDWIN-WHITEHALL,782,421,268,93,332,361,89,53.3,3,123,130,123,7,123,79,44,79,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 16,12,45,38,BALDWIN-WHITEHALL,882,466,292,124,359,419,104,54.1,4,109,119,109,10,109,65,44,65,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 17,,,,,1,0,0,1,0,0,1,36.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 17,12,45,38,BALDWIN-WHITEHALL,655,357,215,83,277,300,78,54.2,2,104,109,104,5,104,60,44,60,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 18,,,,,1,1,0,0,0,0,1,40.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 18,12,45,38,BALDWIN-WHITEHALL,955,516,315,124,403,405,147,53.4,0,146,155,146,9,146,96,50,96,0
ALLEGHENY,BALDWIN TWP,BALDWIN TP 00 01,17,45,42,BALDWIN-WHITEHALL,795,395,277,123,327,375,93,52.0,1,88,95,88,7,88,53,35,53,0
ALLEGHENY,BALDWIN TWP,BALDWIN TP 00 02,,,,,1,1,0,0,0,0,1,70.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BALDWIN TWP,BALDWIN TP 00 02,17,45,42,BALDWIN-WHITEHALL,743,393,232,118,303,361,79,51.8,1,79,87,79,8,79,36,43,36,0
ALLEGHENY,BELL ACRES,BELL ACRES 00 01,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BELL ACRES,BELL ACRES 00 01,17,37,44,QUAKER VALLEY - REGION 1,1152,427,490,235,462,505,185,52.2,4,127,148,127,21,122,56,71,56,0
ALLEGHENY,BELLEVUE,BELLEVUE 01 01,,,,,2,1,0,1,0,0,2,21.0,0,1,2,1,1,1,0,1,0,2
ALLEGHENY,BELLEVUE,BELLEVUE 01 01,17,42,20,NORTHGATE,930,564,217,149,387,420,123,45.8,5,101,109,101,8,101,52,49,52,0
ALLEGHENY,BELLEVUE,BELLEVUE 01 02,17,42,20,NORTHGATE,939,574,199,166,378,441,120,45.8,5,91,96,91,5,91,46,45,46,0
ALLEGHENY,BELLEVUE,BELLEVUE 02 01,17,42,20,NORTHGATE,1044,605,237,202,431,467,146,46.9,4,101,112,101,11,101,51,50,51,0
ALLEGHENY,BELLEVUE,BELLEVUE 02 02,17,42,20,NORTHGATE,985,570,226,189,399,463,123,46.1,5,97,103,97,6,96,50,47,50,0
ALLEGHENY,BELLEVUE,BELLEVUE 03 01,17,42,20,NORTHGATE,1019,588,226,205,398,495,126,45.6,2,100,111,100,11,98,56,44,56,0
ALLEGHENY,BELLEVUE,BELLEVUE 03 02,,,,,1,0,0,1,0,0,1,30.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,BELLEVUE,BELLEVUE 03 02,17,42,20,NORTHGATE,961,547,237,177,394,452,115,46.4,5,106,117,106,11,104,45,61,45,0
ALLEGHENY,BEN AVON,BEN AVON 00 01,,,,,3,1,0,2,0,0,3,40.7,0,1,3,1,2,1,0,1,0,3
ALLEGHENY,BEN AVON,BEN AVON 00 01,17,42,30,AVONWORTH,470,282,108,80,189,220,61,48.8,2,48,50,48,2,48,25,23,25,0
ALLEGHENY,BEN AVON,BEN AVON 00 02,17,42,30,AVONWORTH,966,535,283,148,383,456,127,49.2,3,103,112,103,9,103,43,60,43,0
ALLEGHENY,BEN AVON HEIGHTS,BEN AVON HT 00 01,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BEN AVON HEIGHTS,BEN AVON HT 00 01,17,37,30,AVONWORTH,338,153,140,45,143,152,43,50.4,2,30,35,30,5,30,12,18,12,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 01 01,12,37,40,BETHEL PARK,835,336,375,124,361,358,116,53.8,2,113,131,113,18,110,58,55,58,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 01 02,12,37,40,BETHEL PARK,759,374,267,118,310,374,75,52.2,3,90,95,90,5,90,49,41,49,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 01 03,,,,,1,1,0,0,0,0,1,35.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BETHEL PARK,BETHEL PARK 01 03,12,37,40,BETHEL PARK,805,379,316,110,337,386,82,53.5,0,119,123,119,4,119,75,44,75,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 02 01,,,,,2,1,1,0,0,0,2,18.0,0,2,2,2,0,2,1,1,1,2
ALLEGHENY,BETHEL PARK,BETHEL PARK 02 01,12,37,40,BETHEL PARK,719,292,333,94,316,331,72,53.6,0,86,89,86,3,86,57,29,57,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 02 02,,,,,1,1,0,0,0,0,1,19.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BETHEL PARK,BETHEL PARK 02 02,12,37,40,BETHEL PARK,933,391,392,150,408,405,120,51.3,3,110,121,110,11,108,60,50,60,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 02 03,12,37,40,BETHEL PARK,1075,444,456,175,435,516,124,53.1,2,157,171,157,14,156,100,57,100,0
ALLEGHENY,BETHEL PARK,BETHEL PARK 03 01,12,37,40,BETHEL PARK,774,322,355,97,331,349,94,52.3,1,94,109,94,15,93,53,41,53,0
